conference,region,institution-name,organization,group,position-information,position,prefix,name,lastname,suffix,gender,location,yearbook-year,page,source-pdf
General,,,,officers,,president,A. G.,A. G. Daniells,Daniells,,,,1904,13,YB1904.pdf
General,,,,officers,,president,D. C.,D. C. First,First,,,,1904,13,YB1904.pdf
General,,,,officers,,vice-president,L. R.,L. R. Conradi,Conradi,,,"Grindelberg 15a, Hamburg, Germany. Second",1904,13,YB1904.pdf
General,,,,officers,,vice-president,W. W.,W. W. Prescott,Prescott,,,"222 North Capitol St., Washington, D. C",1904,13,YB1904.pdf
General,,,,officers,,secretary,W. A.,W. A. Spicer,Spicer,,,"222 North Capitol St., Washington, D. C",1904,13,YB1904.pdf
General,,,,officers,,treasurer,I. H.,I. H. Evans,Evans,,,"267 West Main St., Battle Creek, Mich",1904,13,YB1904.pdf
General,,,,appointed assistants,,assistant treasurer,W. T.,W. T. Bland,Bland,,,,1904,13,YB1904.pdf
General,,,,appointed assistants,,assistant treasurer,D. C.,D. C. Home,Home,,,,1904,13,YB1904.pdf
General,,,,appointed assistants,,secretary,,Miss Estella Houser,Houser,,Female,"222 North Capitol St., Washington, D. C",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,H. E.,H. E. Rogers,Rogers,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,D. C.,D. C. EXECUTIVE,EXECUTIVE,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,A. G.,A. G. Daniells,Daniells,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,D. C. H. W.,D. C. H. W. Cottrell,Cottrell,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,W. H.,W. H. Thurston,Thurston,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,I.,I. Butler,Butler,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,C. W.,C. W. Flaiz,Flaiz,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,E. T.,E. T. Russell,Russell,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,N. P.,N. P. Nelson,Nelson,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,W. T.,W. T. Knox,Knox,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,L. R.,L. R. Conradi,Conradi,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,A.,A. Olsen,Olsen,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,P. A.,P. A. Hansen,Hansen,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,W. S.,W. S. Hyatt,Hyatt,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,G. A.,G. A. Irwin,Irwin,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,B. G.,B. G. Wilkinson,Wilkinson,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
General,,,,appointed assistants,,statistical secretary,J. W.,J. W. Westphal,Westphal,,,"Jones,' Pacific Press Pub. Co.. Oakland, Cal.",1904,13,YB1904.pdf
