conference,region,institution-name,organization,group,position-information,position,prefix,name,lastname,suffix,gender,location,yearbook-year,page,source-pdf
General,,,,officers,,president,A. G.,A. G. Daniells,Daniells,,,"Takoma Park Station, Washington, D. C. s",1905,19,YB1905.pdf
General,,,,officers,,president,D. C.,D. C. Vice-Presidents,Vice-Presidents,,,"Takoma Park Station, Washington, D. C. s",1905,19,YB1905.pdf
General,,,,officers,,president,L. R.,L. R. Conradi,Conradi,,,"Takoma Park Station, Washington, D. C. s",1905,19,YB1905.pdf
General,,,,officers,,president,A.,A. Irwin,Irwin,,,"Takoma Park Station, Washington, D. C. s",1905,19,YB1905.pdf
General,,,,officers,,secretary,W. A.,W. A. Spicer,Spicer,,,"Takoma Park Station, Washington, D. C",1905,19,YB1905.pdf
General,,,,officers,,treasurer,I. H.,I. H. Evans,Evans,,,"Takoma Park Station, Washington, D. C",1905,19,YB1905.pdf
General,,,,appointed assistants,,secretary,,Miss Estella Houser,Houser,,,"Takoma Park Station, Washington, D. C",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,H. E.,H. E. Rogers,Rogers,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,D. C.,D. C. EXECUTIVE,EXECUTIVE,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,A. G.,A. G. Daniells,Daniells,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,D. C. L. R.,D. C. L. R. Conradi,Conradi,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,G. A.,G. A. Irwin,Irwin,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,D. C. W. A.,D. C. W. A. Spicer,Spicer,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,H. W.,H. W. Cottrell,Cottrell,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,W. H.,W. H. Thurston,Thurston,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,R. A.,R. A. Underwood,Underwood,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,E. T.,E. T. Russell,Russell,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,W. B.,W. B. White,White,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,A.,A. Olsen,Olsen,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,P. A.,P. A. Hansen,Hansen,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,E. E.,E. E. Andross,Andross,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,W. H.,W. H. Wakeham,Wakeham,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,W. S.,W. S. Hyatt,Hyatt,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,appointed assistants,,statistical secretary,J. W.,J. W. Westphal,Westphal,,,"Casilla 481, Bue-",1905,19,YB1905.pdf
General,,,,officers,,secretary,J. S.,J. S. Washburn,Washburn,,,"Magnolia Ave., Takoma Park Station, Washington, D. C",1905,23,YB1905.pdf
General,,,,officers,,treasurer,J. H.,J. H. Neall,Neall,,,"1528 Ninth St., N. W., Washington, D. C",1905,23,YB1905.pdf
General,,,,officers,,president,H. W.,H. W. Cottrell,Cottrell,,,"South Lancaster, Mass",1905,24,YB1905.pdf
General,,,,officers,,Secretary and Treasurer,W. A.,W. A. Wilcox,Wilcox,,,"South Lancaster, Mass",1905,24,YB1905.pdf
General,,,,officers,,auditor,H. W.,H. W. Cottrell,Cottrell,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,W. A.,W. A. Wilcox,Wilcox,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,C. C.,C. C. Nicola,Nicola,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,G. W.,G. W. Palmer,Palmer,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,S. N.,S. N. Curtiss,Curtiss,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,F. E.,F. E. Painter,Painter,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,E. E.,E. E. Miles,Miles,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,W.,W. Cottrell,Cottrell,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,A.,A. Wilcox,Wilcox,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,D.,D. Mattson,Mattson,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
General,,,,officers,,auditor,E.,E. Place,Place,,,"NEW ENGLAND CONFERENCE. Organized 1903, out of territory formerly comprising the New England Conference",1905,24,YB1905.pdf
